Iteration,Shape1,Width1,Height1,Color1,Shape2,Width2,Height2,Color2,Shape3,Width3,Height3,Color3,Shape4,Width4,Height4,Color4,Shape5,Width5,Height5,Color5,iteration
1,Rect1,62,22,orange,Rect2,112,34,red,Rect3,114,32,red,Rect4,42,38,yellow,Rect5,300,73,blue,31
2,Rect1,60,14,orange,Rect2,118,32,red,Rect3,112,38,red,Rect4,50,34,yellow,Rect5,308,65,blue,31
3,Rect1,62,16,orange,Rect2,112,32,red,Rect3,112,32,red,Rect4,48,30,yellow,Rect5,306,67,blue,31
4,Rect1,70,16,orange,Rect2,112,36,red,Rect3,120,34,red,Rect4,48,30,yellow,Rect5,308,69,blue,31
5,Rect1,62,20,orange,Rect2,118,38,red,Rect3,110,32,red,Rect4,48,34,yellow,Rect5,302,71,blue,31
6,Rect1,70,16,orange,Rect2,110,36,red,Rect3,116,32,red,Rect4,44,36,yellow,Rect5,306,75,blue,31
7,Rect1,66,18,orange,Rect2,112,34,red,Rect3,112,36,red,Rect4,40,38,yellow,Rect5,302,71,blue,31
8,Rect1,60,16,orange,Rect2,110,40,red,Rect3,112,36,red,Rect4,42,32,yellow,Rect5,300,67,blue,31
9,Rect1,62,16,orange,Rect2,112,34,red,Rect3,110,36,red,Rect4,50,40,yellow,Rect5,306,73,blue,31
10,Rect1,68,14,orange,Rect2,118,32,red,Rect3,118,34,red,Rect4,40,34,yellow,Rect5,300,73,blue,31
11,Rect1,68,12,orange,Rect2,118,34,red,Rect3,116,32,red,Rect4,40,36,yellow,Rect5,308,71,blue,31
12,Rect1,66,14,orange,Rect2,112,30,red,Rect3,120,40,red,Rect4,46,34,yellow,Rect5,300,71,blue,31
13,Rect1,66,12,orange,Rect2,118,34,red,Rect3,118,32,red,Rect4,40,40,yellow,Rect5,302,71,blue,31
14,Rect1,66,20,orange,Rect2,112,34,red,Rect3,110,36,red,Rect4,46,40,yellow,Rect5,308,71,blue,31
15,Rect1,64,18,orange,Rect2,114,40,red,Rect3,116,36,red,Rect4,46,38,yellow,Rect5,306,69,blue,31
16,Rect1,60,12,orange,Rect2,110,30,red,Rect3,110,40,red,Rect4,48,32,yellow,Rect5,306,67,blue,31
17,Rect1,70,14,orange,Rect2,114,36,red,Rect3,114,36,red,Rect4,50,36,yellow,Rect5,302,67,blue,31
18,Rect1,68,12,orange,Rect2,118,32,red,Rect3,110,34,red,Rect4,46,38,yellow,Rect5,308,73,blue,31
19,Rect1,60,18,orange,Rect2,118,34,red,Rect3,112,38,red,Rect4,42,32,yellow,Rect5,304,67,blue,31
20,Rect1,68,20,orange,Rect2,114,38,red,Rect3,116,38,red,Rect4,48,36,yellow,Rect5,310,65,blue,31
21,Rect1,66,20,orange,Rect2,110,38,red,Rect3,114,38,red,Rect4,46,30,yellow,Rect5,300,75,blue,31
22,Rect1,64,14,orange,Rect2,118,30,red,Rect3,114,36,red,Rect4,50,30,yellow,Rect5,300,73,blue,31
23,Rect1,66,16,orange,Rect2,116,30,red,Rect3,110,40,red,Rect4,40,32,yellow,Rect5,308,75,blue,31
24,Rect1,60,16,orange,Rect2,118,36,red,Rect3,112,36,red,Rect4,44,38,yellow,Rect5,302,73,blue,31
25,Rect1,70,18,orange,Rect2,116,34,red,Rect3,116,30,red,Rect4,40,30,yellow,Rect5,306,71,blue,31
26,Rect1,68,18,orange,Rect2,110,40,red,Rect3,118,36,red,Rect4,46,38,yellow,Rect5,306,73,blue,31
27,Rect1,62,16,orange,Rect2,114,34,red,Rect3,110,36,red,Rect4,46,38,yellow,Rect5,302,73,blue,31
28,Rect1,68,20,orange,Rect2,118,32,red,Rect3,112,38,red,Rect4,50,32,yellow,Rect5,302,75,blue,31
29,Rect1,64,12,orange,Rect2,112,34,red,Rect3,112,34,red,Rect4,42,32,yellow,Rect5,304,67,blue,31
30,Rect1,68,12,orange,Rect2,110,38,red,Rect3,114,32,red,Rect4,40,32,yellow,Rect5,300,65,blue,31
31,Rect1,68,20,orange,Rect2,112,34,red,Rect3,112,34,red,Rect4,48,34,yellow,Rect5,302,71,blue,31
55,Rect1,62,14,orange,Rect2,116,32,red,Rect3,116,34,red,Rect4,46,36,yellow,Rect5,304,65,blue,31
56,Rect1,68,12,orange,Rect2,110,36,red,Rect3,114,32,red,Rect4,40,36,yellow,Rect5,306,75,blue,31
